tot_loss, c_loss, reg_loss

0.407661741767 0.140414178446 0.00715057012315
acc = 0.944790909091
0.200121959789 0.140208588069 0.00798052745483
0.152692041177 0.140071891819 0.00851714106742
0.126075496528 0.139978376403 0.00894621560816
0.108059834723 0.139920852184 0.00929920401114
0.0949535402718 0.139885354787 0.00960570627979
0.0845704865766 0.13986679107 0.00986620971157
0.0759463104047 0.139862799247 0.0100986306369
0.0712838835409 0.139867506598 0.0102968698616
0.0645158710269 0.139881478846 0.0104887833617
0.059607398125 0.13990242665 0.0106654251569
acc = 0.979298989899
0.054450140909 0.139927284196 0.0108213838469
0.0516341547156 0.139961293812 0.0109542100069
0.0491053751111 0.139997568528 0.0110792647349
0.0440222992857 0.140033718099 0.0112037531007
0.0426378144231 0.140067249065 0.0113110050093
0.0405312522066 0.140105548625 0.0114024408363
0.0384596784537 0.140150404572 0.0114820153328
0.0366562265204 0.140195150425 0.0115506535613
0.0353741877961 0.140233504598 0.0116122695695
0.0340632588509 0.140269147108 0.0116651263072
acc = 0.983198989899
0.0313975290194 0.140307467754 0.0117144930223
0.0318710851374 0.140348564014 0.0117543827432
0.0308966795603 0.140385603979 0.0117843299995
0.0295718646158 0.140421638365 0.0118111286297
0.0276037992785 0.140458135083 0.0118366446703
0.0274443887236 0.140495372911 0.011853116611
0.0261158340331 0.14052512457 0.0118642563978
0.0263251658436 0.14055872341 0.0118666913174
0.0258531030919 0.140590667923 0.0118648526554
0.0243173996328 0.140621415029 0.0118589229028
acc = 0.985
0.0242550004305 0.1406489712 0.0118526821195
0.0237649284319 0.140675895115 0.0118418100694
0.0225430654238 0.140700354601 0.0118304193889
0.0227450296112 0.140722519134 0.0118096161572
0.0225121215545 0.140744552563 0.011791378196
0.0217274848667 0.140768379892 0.0117722943208
0.0215090725338 0.140791088343 0.0117501821648
0.021121520799 0.14080783772 0.0117242362505
0.0203627794158 0.140823193987 0.0116902914799
0.019842653245 0.140840588684 0.0116643857568
acc = 0.9852
0.0194273000009 0.140854042297 0.0116349045063
0.0198160096739 0.140864379009 0.0116016258812
0.0194734915051 0.140877595941 0.0115701873694
0.0194223756095 0.140890459518 0.0115354072023
0.018033921031 0.140901383708 0.0114976510049
0.0181945660493 0.140908155044 0.0114580006416
0.018348549606 0.140913613091 0.0114190094483
0.0182058501771 0.140923438246 0.0113740299797
0.0177544955863 0.140933587203 0.0113300397263
0.0178354031111 0.140942121521 0.0112893010102
acc = 0.984498989899
0.0174091676312 0.140950020105 0.0112462883738
0.0172570861954 0.140956039379 0.0112052249334
0.01738117451 0.140960947201 0.0111620485829
0.0171368760879 0.140963580956 0.0111183261545
0.0165840065231 0.140967928941 0.0110749833627
0.0164992936964 0.140968551661 0.0110315997681
0.0162958866358 0.140970433826 0.0109894254788
0.016825048759 0.140974291389 0.0109433266552
0.0158396706932 0.140976669813 0.0108992525889
0.0162059745456 0.140983160958 0.0108542327334
acc = 0.984598989899
0.0159814854432 0.140985161091 0.0108109773944
0.0162975835769 0.140986935596 0.0107663734149
0.0158685563334 0.140989920696 0.0107237840428
0.0153526371904 0.140989243314 0.0106797921099
0.0155252373995 0.14098893481 0.0106372824823
0.0160625882881 0.140992293383 0.0105943541011
0.0150959685988 0.14099330547 0.0105544230482
0.0153641089145 0.140995302374 0.0105127206352
0.0147825272909 0.140993417924 0.0104725271494
0.0148196076664 0.140989215399 0.010431395423
acc = 0.9853
0.0148047599538 0.140984726598 0.0103916480004
0.0144508911918 0.140978535836 0.0103497290673
0.0145037082722 0.140974983027 0.0103096443554
0.0145314012018 0.140967836156 0.0102701307787
0.0148257992572 0.140963393723 0.010227294527
0.0144695699277 0.140958329464 0.0101835211351
0.0141554286284 0.1409568503 0.0101451289266
0.0141658417089 0.140956549322 0.0101068109833
0.014170267866 0.140951737091 0.0100685632384
0.0138053438735 0.140945816264 0.0100289222396
acc = 0.985397979798
0.013428568573 0.140937841684 0.00998974468404
0.0137217600628 0.140928671608 0.00994798273003
0.0137099433178 0.140925621912 0.00990729417652
0.0136471564711 0.140919535855 0.00987018950594
0.0135326161329 0.140910433978 0.00983336755695
0.0134806695177 0.140903917427 0.00979814620068
0.0134820519046 0.140896950091 0.00976288655152
0.0134319897586 0.140891347652 0.0097296379429
0.0130835946261 0.140884020602 0.00969725144096
0.0129937086627 0.140872096842 0.00966619748622
acc = 0.985298989899
0.0129111102736 0.140860908305 0.00963276272019
0.0127303619791 0.140851158823 0.00959645609527
0.0128411956908 0.140840664779 0.00956253659135
0.0127950774444 0.140831811503 0.00953084240823
0.0125003550993 0.140821236819 0.00949791241282
0.0127359968284 0.140812259441 0.00946532255815
0.0130349307011 0.140805047949 0.00943373883919
0.0124971684519 0.140797848677 0.00940300897229
0.0127032165152 0.140789681748 0.00937275977184
0.0123324502803 0.140780727342 0.00934344977917
acc = 0.985298989899
0.0122894244626 0.140775212 0.00932658148153
0.0124588109118 0.140775403281 0.00932295909151
0.0122009213703 0.140775510694 0.00931914653474
0.0121996670247 0.14077559943 0.00931526583464
0.0120337668698 0.140775730436 0.00931140874823
0.0118603415787 0.140775724575 0.00930764658221
0.012014659921 0.140775782093 0.00930392397568
0.012068086473 0.140775730386 0.0093000972985
0.0119750381106 0.140775654341 0.0092961727983
0.0122179372003 0.140775642221 0.00929239703032
acc = 0.986298989899
0.0121051853895 0.140775764907 0.00928862132132
0.012110129275 0.140775783906 0.0092848788326
0.011864716749 0.140775634994 0.00928126840542
0.0120121036377 0.140775422057 0.00927749901079
0.0117215947372 0.140775338933 0.00927364725309
0.0120011104426 0.14077525047 0.00926990434683
0.0122797729261 0.140775096864 0.00926597078796
